campaign_id,timestamp,repetition,scenario,severity,reference_policy_version,reference_policy_sha256,selected_decision,executed_decision,aggregation_mode,expected_decision,correct,confidence,confidence_margin,ce,ch,cc,cr,decision_latency_ms,recovery_success,recovery_attempted,operator_escalation,safety_status,safety_reason,action_execution_mode,recovery_verification_latency_ms,pre_availability,post_availability,availability_gain,cpu,memory,allocated_memory_mb,latency_ms,error_rate,dependency_available
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:28:56.096302+00:00,3,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6799812551085562,0.19226223070517057,0.567,0.5291999999999999,0.95,0.75,0.23152027279138565,1,1,0,autonomous,,prototype_fault_reset,1094.6016907691956,1.0,1.0,0.0,87.8,2.1554017038372066,0.0,13.417335515259763,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:29:19.266239+00:00,4,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.6910414877038698,0.2033224633004841,0.567,0.5291999999999999,0.95,0.8,2.0789513364434242,1,1,0,autonomous,,prototype_fault_reset,1100.5878522992134,1.0,1.0,0.0,87.8,2.1554017038372066,0.0,13.433101433670013,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:29:42.415837+00:00,5,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7063922014599321,0.21290115336978777,0.5805,0.5418,0.95,0.8333333333333334,0.2715904265642166,1,1,0,autonomous,,prototype_fault_reset,1100.070521235466,1.0,1.0,0.0,88.7,2.1554017038372066,0.0,13.927332492312415,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:30:05.584472+00:00,6,cpu,0.9,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7030641081704515,0.21534508376706585,0.567,0.5291999999999999,0.95,0.8571428571428571,0.28667692095041275,1,1,0,autonomous,,prototype_fault_reset,1104.1916916146874,1.0,1.0,0.0,87.8,2.1577835825043072,0.0,14.268021932086691,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:30:28.692263+00:00,1,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7242408075981603,0.2244145701574572,0.5955,0.5558,0.95,0.875,0.3710296005010605,1,1,0,autonomous,,prototype_fault_reset,1041.9315053150058,1.0,1.0,0.0,89.7,2.1587760319489324,0.0,16.706335672606993,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:30:51.844893+00:00,2,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7460805792304724,0.2332050981231436,0.627,0.5851999999999999,0.95,0.8888888888888888,0.2659950405359268,1,1,0,autonomous,,prototype_fault_reset,1089.3299980089068,1.0,1.0,0.0,91.8,2.1589745218378575,0.0,16.983207940938883,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:31:15.013744+00:00,3,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7484012311373576,0.23552575003002874,0.627,0.5851999999999999,0.95,0.9,0.2755383029580116,1,1,0,autonomous,,prototype_fault_reset,1113.6325998231769,1.0,1.0,0.0,91.8,2.1589745218378575,0.0,17.086973694925444,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:31:38.175069+00:00,4,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.739435965604026,0.2339759420470202,0.6089999999999999,0.5683999999999998,0.95,0.9090909090909091,0.26522669941186905,1,1,0,autonomous,,prototype_fault_reset,1103.4743273630738,1.0,1.0,0.0,90.6,2.1589745218378575,0.0,16.307289048563685,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:32:01.348659+00:00,5,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7607824214541083,0.2418083255590484,0.642,0.5992,0.95,0.9166666666666666,0.2805683761835098,1,1,0,autonomous,,prototype_fault_reset,1090.2763064950705,1.0,1.0,0.0,92.8,2.1589745218378575,0.0,16.849419496749054,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:32:24.509426+00:00,6,cpu,0.95,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Scale Out,Scale Out,multiplicative,Scale Out,1,0.7709607237801568,0.24595885207004964,0.6569999999999999,0.6131999999999999,0.95,0.9230769230769231,0.33886171877384186,1,1,0,autonomous,,prototype_fault_reset,1098.4065774828196,1.0,1.0,0.0,93.8,2.1589745218378575,0.0,16.763684252509847,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:32:44.652823+00:00,1,memory,100,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,Operator Review,multiplicative,Do Nothing,1,0.522302722898102,0.06387776083845731,0.6378849711395702,0.6666666666666667,0.35,0.5,0.29550958424806595,0,0,1,operator_escalation,confidence 0.522 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,1.0,7.242300577208597,100.0,12.915471559777238,0.0,1.0
0ab6e4b7-ed17-40ee-b57e-3a54441b350b,2026-09-05T09:33:04.768921+00:00,2,memory,100,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,Operator Review,multiplicative,Do Nothing,1,0.5223433492331984,0.06397298088130104,0.6380834610284952,0.6666666666666667,0.35,0.5,0.33289846032857895,0,0,1,operator_escalation,confidence 0.522 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,1.0,1.0,0.0,0.0,7.238330779430095,100.0,8.61495339935555,0.0,1.0
